trial,faceID,mask,response,accuracy,RT,stimDuration
1,O13.jpeg,none,O13.jpeg,1,2.772,0.15s
2,O66.jpeg,none,O66.jpeg,1,2.069,0.15s
3,O63.jpeg,lower,O62.jpeg,0,5.068,0.15s
4,O54.jpeg,none,O54.jpeg,1,3.286,0.15s
5,O69.jpeg,lower,O69.jpeg,1,2.422,0.15s
6,O59.jpeg,lower,O59.jpeg,1,1.733,0.15s
7,O76.jpeg,lower,O56.jpeg,0,5.555,0.15s
8,O2.jpeg,lower,O2.jpeg,1,2.95,0.15s
9,O19.jpeg,upper,O19.jpeg,1,1.982,0.15s
10,O32.jpeg,upper,O28.jpeg,0,5.285,0.15s
11,O67.jpeg,none,O67.jpeg,1,3.936,0.15s
12,O27.jpeg,lower,O8.jpeg,0,2.499,0.15s
13,O69.jpeg,lower,O69.jpeg,1,2.052,0.15s
14,O82.jpeg,lower,O44.jpeg,0,8.037,0.15s
15,O56.jpeg,none,O56.jpeg,1,1.617,0.15s
16,O77.jpeg,lower,O51.jpeg,0,4.856,0.15s
17,O47.jpeg,upper,O56.jpeg,0,2.233,0.15s
18,O47.jpeg,upper,O75.jpeg,0,2.483,0.15s
19,O77.jpeg,lower,O58.jpeg,0,5.202,0.15s
20,O51.jpeg,lower,O51.jpeg,1,7.254,0.15s
21,O10.jpeg,none,O20.jpeg,0,3.852,0.15s
22,O83.jpeg,upper,O83.jpeg,1,2.667,0.15s
23,O50.jpeg,none,O50.jpeg,1,92.252,0.15s
24,O20.jpeg,lower,O80.jpeg,0,2.352,0.15s
25,O19.jpeg,none,O77.jpeg,0,6.09,0.15s
26,O76.jpeg,lower,O78.jpeg,0,9.333,0.15s
27,O37.jpeg,lower,O37.jpeg,1,7.705,0.15s
