trial,faceID,mask,response,accuracy,RT,stimDuration
1,O4.jpeg,none,O4.jpeg,1,1.833,0.15s
2,O59.jpeg,none,O59.jpeg,1,3.598,0.15s
3,O39.jpeg,none,O39.jpeg,1,2.523,0.15s
4,O51.jpeg,lower,O51.jpeg,1,1.102,0.15s
5,O80.jpeg,lower,O80.jpeg,1,2.385,0.15s
6,O19.jpeg,upper,O11.jpeg,0,3.352,0.15s
7,O51.jpeg,none,O51.jpeg,1,1.434,0.15s
8,O21.jpeg,none,O21.jpeg,1,1.999,0.15s
9,O1.jpeg,upper,O51.jpeg,0,2.337,0.15s
10,O57.jpeg,upper,O69.jpeg,0,1.321,0.15s
11,O66.jpeg,upper,O66.jpeg,1,2.834,0.15s
12,O83.jpeg,lower,O57.jpeg,0,1.635,0.15s
13,O13.jpeg,lower,O13.jpeg,1,1.8,0.15s
14,O71.jpeg,upper,O69.jpeg,0,0.966,0.15s
15,O54.jpeg,none,O38.jpeg,0,3.252,0.15s
16,O2.jpeg,upper,O2.jpeg,1,1.053,0.15s
